Subject_ID,Overall_Status,Sbref_Direction,IntendedFor,DWI_Parameters,File_Properties,Missing_Files,Extra_Files,DWI_Version,ASL_Version,M0scan_Status,Total_Missing_Files,Total_Extra_Files,DWI_Dimensions,DWI_TR,RevB0_Dimensions,RevB0_TR,ASL_Dimensions,ASL_TR,Missing_Files_Detail,Extra_Files_Detail,Property_Issues_Detail,DWI_Parameter_Issues
sub-0653,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0654,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0655,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0656,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0657,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0658,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0659,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0660,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0661,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0662,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
